0|iata_code|1|city_rus
BEY|BEY|Бейрут|Бейрут
BEZ|BEZ|Беру|Беру
BFA|BFA||
BFB|BFB||
BFC|BFC||
BFD|BFD||
BFE|BFE|Билефельд|Билефельд
BFF|BFF||
BFG|BFG||
BFH|BFH|Куритиба|Куритиба
BFI|BFI|Сиэттл|Сиэттл
BFJ|BFJ|Ба|Ба
BFK|BFK||
BFL|BFL|Бейкерсфилд|Бейкерсфилд
BFM|BFM|Мобайл|Мобайл
BFO|BFO||
BFP|BFP||
BFQ|BFQ||
BFR|BFR||
BFS|BFS||
BFT|BFT||
BFU|BFU|Бенгбу|Бенгбу
BFV|BFV||
BFW|BFW||
BFX|BFX||
BGA|BGA||
BGB|BGB||
BGC|BGC|Браганса|Браганса
BGD|BGD||
BGE|BGE||
BGF|BGF||
BGG|BGG||
BGH|BGH|Боге|Боге
BGI|BGI||
BGJ|BGJ||
BGK|BGK|Биг-Крик|Биг-Крик
BGL|BGL|Баглунг|Баглунг
BGM|BGM||
BGN|BGN||
BGO|BGO|Берген|Берген
BGP|BGP|Бонго|Бонго
BGQ|BGQ||
BGR|BGR|Бангор|Бангор
BGS|BGS||
BGT|BGT||
BGU|BGU|Бангассу|Бангассу
BGV|BGV||
BGW|BGW|Багдад|Багдад
BGX|BGX||
BGY|BGY|Бергамо|Бергамо
BGZ|BGZ|Брага|Брага
BHA|BHA||
BHB|BHB|Бар Харбор|Бар Харбор
BHC|BHC||
BHD|BHD||
BHE|BHE|Бленхайм|Бленхайм
BHF|BHF|Бахья-Купика|Бахья-Купика
BHG|BHG|Брюс-Лагуна|Брюс-Лагуна
BHH|BHH|Биша|Биша
BHI|BHI||
BHJ|BHJ|Бхудж|Бхудж
BHK|BHK|Бухара|Бухара
BHL|BHL|Бахиа-Ангелес|Бахиа-Ангелес
BHM|BHM||
BHN|BHN|Бейхан|Бейхан
BHO|BHO|Бхопал|Бхопал
BHP|BHP|Бхойпур|Бхойпур
BHQ|BHQ||
BHR|BHR|Бхаратпур|Бхаратпур
BHS|BHS|Батерст|Батерст
BHT|BHT||
BHU|BHU|Бхавнагар|Бхавнагар
BHV|BHV|Бахавалпур|Бахавалпур
BHW|BHW|Саргодха|Саргодха
BHX|BHX||
BHY|BHY|Бейхай|Бейхай
BIA|BIA|Бастия|Бастия
BIB|BIB|Байдоа|Байдоа
BIC|BIC|Биг-Крик|Биг-Крик
BID|BID||
BIE|BIE||
BIF|BIF|Эль Пасо|Эль Пасо
BIG|BIG||
BIH|BIH|Бишоп|Бишоп
BII|BII|Бикини-Атолл|Бикини-Атолл
BIJ|BIJ||
BIK|BIK||
BIL|BIL|Биллингс|Биллингс
BIM|BIM||
BIN|BIN|Бамиан|Бамиан
BIO|BIO|Билбао|Билбао
BIP|BIP||
BIQ|BIQ|Биарриц|Биарриц
BIR|BIR|Биратнагар|Биратнагар
BIS|BIS|Бисмарк|Бисмарк
BIT|BIT|Байтади|Байтади
BIU|BIU|Билдудалур|Билдудалур
BIV|BIV|Бриа|Бриа
BIW|BIW||
BIX|BIX||
BIY|BIY|Бишо|Бишо
BIZ|BIZ|Бимин|Бимин
BJA|BJA||
BJB|BJB||
BJC|BJC||
BJD|BJD|Баккафьордур|Баккафьордур
BJF|BJF|Ботсфьорд|Ботсфьорд
BJG|BJG|Болаанг|Болаанг
BJH|BJH|Баджханг|Баджханг
BJI|BJI||
BJJ|BJJ|Вустер|Вустер
BJK|BJK|Бенджина|Бенджина
BJL|BJL||
BJM|BJM||
BJN|BJN|Бахоне|Бахоне
BJO|BJO|Бермехо|Бермехо
BJP|BJP||
BJR|BJR|Бахар-Дар|Бахар-Дар
BJT|BJT||
BJU|BJU|Баджура|Баджура
BJV|BJV|Бодрум|Бодрум
BJW|BJW|Баджава|Баджава
BJX|BJX||
BJY|BJY|Белград|Белград
BJZ|BJZ|Бадахос|Бадахос
BKA|BKA|Москва|Москва
BKB|BKB|Биканер|Биканер
BKC|BKC||
BKD|BKD||
BKE|BKE||
BKF|BKF||
BKH|BKH||
BKI|BKI||
BKJ|BKJ|Боке|Боке
BKK|BKK|Бангкок|Бангкок
BKL|BKL||
BKM|BKM||
BKN|BKN||
BKO|BKO||
BKP|BKP||
BKQ|BKQ||
BKR|BKR|Бокоро|Бокоро
BKS|BKS|Бенгкулу|Бенгкулу
BKT|BKT||
BKU|BKU||
BKW|BKW||
BKX|BKX||
BKY|BKY||
BKZ|BKZ|Букоба|Букоба
BLA|BLA|Барселона|Барселона
BLB|BLB|Балбоа|Балбоа
BLC|BLC|Бали|Бали
BLD|BLD||
BLE|BLE|Борланг|Борланг
BLF|BLF||
BLG|BLG||
BLH|BLH||
BLI|BLI||
BLJ|BLJ|Батна|Батна
BLK|BLK||
BLL|BLL|Биллунд|Биллунд
BLM|BLM||
BLN|BLN||
BLO|BLO||
BLP|BLP|Беллависта|Беллависта
BLQ|BLQ|Болонья|Болонья
BLR|BLR|Бангалор|Бангалор
BLS|BLS||
BLT|BLT||
BLU|BLU||
BLV|BLV|Белльвиль|Белльвиль
BLW|BLW||
BLX|BLX|Беллуно|Беллуно
BLY|BLY|Белмаллет|Белмаллет
BLZ|BLZ||
BMA|BMA|Стокгольм|Стокгольм
BMB|BMB|Бумба|Бумба
BMC|BMC||
BMD|BMD|Бело|Бело
BME|BME|Брум|Брум
BMF|BMF|Бакума|Бакума
BMG|BMG||
BMH|BMH|Бомай|Бомай
BMI|BMI||
BMJ|BMJ|Барамита|Барамита
BMK|BMK|Боркум|Боркум
BML|BML|Берлин|Берлин
BMM|BMM|Битам|Битам
BMN|BMN|Бамерни|Бамерни
BMO|BMO|Бамо|Бамо
BMP|BMP|Бремптон Айленд|Бремптон Айленд
BMQ|BMQ|Бамбури|Бамбури
BMR|BMR||
BMS|BMS||
BMT|BMT||
BMU|BMU|Бима|Бима
BMV|BMV||
BMW|BMW|Борж-Бажи-Мохтар|Борж-Бажи-Мохтар
BMX|BMX||
BMY|BMY||
BMZ|BMZ|Баму|Баму
BNA|BNA||
BNB|BNB|Боэнде|Боэнде
BNC|BNC|Бени|Бени
BND|BND|Бандар-Аббас|Бандар-Аббас
BNE|BNE|Брисбан|Брисбан
BNF|BNF||
BNG|BNG||
BNH|BNH|Хартфорд|Хартфорд
BNI|BNI|Бенин-Сити|Бенин-Сити
BNK|BNK|Баллина|Баллина
BNL|BNL||
BNM|BNM|Бодинуму|Бодинуму
BNN|BNN|Броннойзунд|Броннойзунд
BNO|BNO||
BNP|BNP|Банну|Банну
BNQ|BNQ||
BNR|BNR|Банфора|Банфора
BNS|BNS|Баринас|Баринас
BNT|BNT|Бунди|Бунди
BNU|BNU|Блюменау|Блюменау
BNV|BNV|Боана|Боана
BNW|BNW||
BNX|BNX|Баня-Лука|Баня-Лука
BNY|BNY|Беллона|Беллона
BNZ|BNZ|Банц|Банц
BOA|BOA|Бома|Бома
BOB|BOB||
BOC|BOC||
BOD|BOD|Бордо|Бордо
BOE|BOE|Бунджи|Бунджи
BOF|BOF||
BOG|BOG|Богота|Богота
BOH|BOH||
BOI|BOI||
BOJ|BOJ|Бургас|Бургас
BOK|BOK||
BOL|BOL||
BOM|BOM||
BON|BON||
BOO|BOO|Бодо|Бодо
BOP|BOP|Буар|Буар
BOQ|BOQ|Боку|Боку
BOR|BOR|Белфорт|Белфорт
BOS|BOS|Бостон|Бостон
BOT|BOT||
BOU|BOU|Борже|Борже
BOV|BOV|Боанг|Боанг
BOW|BOW||
BOX|BOX||
BOY|BOY||
